0 accuracy, random feature weight(0.8169014084507042, -0.07024816821173877)
0.01 accuracy, random feature weight(0.812206572769953, -0.12213836060316843)
0.1 accuracy, random feature weight(0.812206572769953, -0.10464321071510721)
1.0 accuracy, random feature weight(0.812206572769953, -0.11410398141042329)
10.0 accuracy, random feature weight(0.8169014084507042, -0.15461689091455788)
100.0 accuracy, random feature weight(0.6619718309859155, -0.10138631559277173)
1000.0 accuracy, random feature weight(0.6525821596244131, -0.015112148174512542)
