0 accuracy, random feature weight(0.7686116700201208, -0.07024816821173877)
0.01 accuracy, random feature weight(0.7565392354124748, -0.12213836060316843)
0.1 accuracy, random feature weight(0.7826961770623743, -0.10464321071510721)
1.0 accuracy, random feature weight(0.7565392354124748, -0.11410398141042329)
10.0 accuracy, random feature weight(0.7505030181086519, -0.15461689091455788)
100.0 accuracy, random feature weight(0.6398390342052314, -0.10138631559277173)
1000.0 accuracy, random feature weight(0.635814889336016, -0.015112148174512542)
